Feature: telephone	 	Log Val: 4.382026634673881		 Sense: PHONE 
Feature: machines		Log Val: 4.044522437723423		 Sense: PRODUCT 
Feature: sales		Log Val: 3.772588722239781		 Sense: PRODUCT 
Feature: introduced		Log Val: 3.772588722239781		 Sense: PRODUCT 
Feature: car		Log Val: 3.70805020110221		 Sense: PRODUCT 
Feature: product		Log Val: 3.639057329615259		 Sense: PRODUCT 
Feature: ibms		Log Val: 3.639057329615259		 Sense: PRODUCT 
Feature: plans		Log Val: 3.5649493574615367		 Sense: PRODUCT 
Feature: brands		Log Val: 3.5649493574615367		 Sense: PRODUCT 
Feature: cars		Log Val: 3.4849066497880004		 Sense: PRODUCT 
Feature: ps2		Log Val: 3.3978952727983707		 Sense: PRODUCT 
Feature: personal		Log Val: 3.3978952727983707		 Sense: PRODUCT 
Feature: models		Log Val: 3.3978952727983707		 Sense: PRODUCT 
Feature: phone	 	Log Val: 3.367295829986474		 Sense: PHONE 
Feature: general		Log Val: 3.3025850929940455		 Sense: PRODUCT 
Feature: industry		Log Val: 3.3025850929940455		 Sense: PRODUCT 
Feature: selling		Log Val: 3.3025850929940455		 Sense: PRODUCT 
Feature: maker		Log Val: 3.3025850929940455		 Sense: PRODUCT 
Feature: products		Log Val: 3.2772672850097555		 Sense: PRODUCT 
Feature: current		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: dealers		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: less		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: spokesman		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: sell		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: foods		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: auto		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: compaq		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: markets		Log Val: 3.197224577336219		 Sense: PRODUCT 
Feature: first		Log Val: 3.1400661634962708		 Sense: PRODUCT 
Feature: service	 	Log Val: 3.091042453358316		 Sense: PHONE 
