Accuracy: 85.13128255666619 

	RB	,	PRP	VBD	NNP	.	CC	IN	DT	VB	CD	NNS	:	JJS	JJ	NN	TO	``	''	VBN	PRP$	VBP	WP	MD	VBG	POS	VBZ	(	)	WRB	WDT	RP	$	JJR	EX	UH	RBR	NNPS	PDT	WP$	RBS	#		FW	SYM	LS	
RB	1427	0	0	16	163	0	5	169	8	6	0	0	0	2	75	125	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	35	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
,	0	3070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PRP	0	0	746	0	296	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBD	0	0	0	1766	3	0	0	0	0	9	0	0	0	0	0	17	0	0	0	41	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNP	0	0	0	0	5810	0	0	1	0	0	28	0	0	0	0	2	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
.	0	0	0	0	0	2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC	1	0	0	0	157	0	1207	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IN	13	0	0	0	341	0	0	5442	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DT	0	0	0	0	545	0	0	68	4202	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VB	2	0	0	27	29	0	0	4	0	879	0	0	0	0	22	405	0	0	0	4	0	204	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CD	0	0	0	2	36	0	0	0	0	0	1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNS	0	0	0	26	136	0	0	0	0	0	22	2508	0	0	16	608	0	0	0	0	0	0	0	0	96	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
:	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJS	0	0	0	0	12	0	0	0	0	0	0	0	0	108	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
